YEAR,STATE_FIPS,STATE,TOTAL_DEM_VOTES,TOTAL_REP_VOTES,TOTAL_VOTES,MARGIN_VICTORY,ABS_MARGIN_VICTORY,WINNING_PARTY,ELECTORAL_VOTES,TOP_TOPIC
2004,17,Illinois,"2,891,989 ","2,346,608 ",5238597,-0.104108218,0.104108218,0,20,Economy
2004,18,Indiana,"969,011 ","1,479,438 ",2448449,0.208469525,0.208469525,1,11,Economy
2004,19,Iowa,"741,898 ","751,957 ",1493855,0.006733585,0.006733585,1,6,Economy
2004,20,Kansas,"434,993 ","736,456 ",1171449,0.257341976,0.257341976,1,6,Economy
2004,21,Kentucky,"712,733 ","1,069,439 ",1782172,0.200152398,0.200152398,1,8,Economy
2004,22,Louisiana,"820,299 ","1,102,169 ",1922468,0.146618825,0.146618825,1,8,Economy
2004,23,Maine,"364,153 ","308,997 ",673150,-0.081937161,0.081937161,0,4,Economy
2004,24,Maryland,"1,334,493 ","1,024,703 ",2359196,-0.131311684,0.131311684,0,10,Economy
2004,25,Massachusetts,"1,803,800 ","1,071,109 ",2874909,-0.25485711,0.25485711,0,11,Economy
2004,26,Michigan,"2,479,183 ","2,313,746 ",4792929,-0.034516889,0.034516889,0,16,Economy
2004,27,Minnesota,"1,444,751 ","1,346,451 ",2791202,-0.035217802,0.035217802,0,10,Economy
2004,28,Mississippi,"440,034 ","666,295 ",1106329,0.204515113,0.204515113,1,6,Economy
2004,29,Missouri,"1,154,546 ","1,419,652 ",2574198,0.102985862,0.102985862,1,10,Economy
2004,30,Montana,"173,710 ","266,063 ",439773,0.210001524,0.210001524,1,3,Economy
2004,31,Nebraska,"254,328 ","512,814 ",767142,0.336946745,0.336946745,1,5,Economy
2004,32,Nevada,"397,190 ","418,690 ",815880,0.026351914,0.026351914,1,6,Economy
2004,33,New Hampshire,"340,511 ","331,237 ",671748,-0.013805772,0.013805772,0,4,Economy
2004,34,New Jersey,"1,911,430 ","1,668,003 ",3579433,-0.06800714,0.06800714,0,14,Economy
2004,35,New Mexico,"370,942 ","376,930 ",747872,0.008006718,0.008006718,1,5,Economy
2004,36,New York,"4,180,755 ","2,806,993 ",6987748,-0.196595813,0.196595813,0,29,Economy
2004,37,North Carolina,"1,525,849 ","1,961,166 ",3487015,0.12483944,0.12483944,1,15,Economy
2004,38,North Dakota,"111,052 ","196,651 ",307703,0.278187083,0.278187083,1,3,Economy
2004,39,Ohio,"2,739,952 ","2,858,727 ",5598679,0.021214826,0.021214826,1,18,Economy
2004,40,Oklahoma,"503,966 ","959,792 ",1463758,0.311408033,0.311408033,1,7,Economy
2004,41,Oregon,"943,163 ","866,831 ",1809994,-0.042172515,0.042172515,0,7,Economy
2004,42,Pennsylvania,"2,938,095 ","2,793,847 ",5731942,-0.025165642,0.025165642,0,20,Economy
2004,44,Rhode Island,"259,760 ","169,046 ",428806,-0.211550212,0.211550212,0,4,Economy
2004,45,South Carolina,"661,699 ","937,974 ",1599673,0.172707172,0.172707172,1,9,Economy
2004,46,South Dakota,"161,244 ","250,584 ",411828,0.216935225,0.216935225,1,3,Economy
2004,47,Tennessee,"1,032,910 ","1,381,225 ",2414135,0.144281492,0.144281492,1,11,Economy
2004,48,Texas,"2,832,704 ","4,526,917 ",7359621,0.230203838,0.230203838,1,38,Economy
2004,49,Utah,"241,199 ","663,742 ",904941,0.466928783,0.466928783,1,6,Economy
2004,50,Vermont,"184,067 ","121,180 ",305247,-0.206020043,0.206020043,0,3,Economy
2004,51,Virginia,"1,814,218 ","2,044,018 ",3858236,0.059560898,0.059560898,1,13,Economy
2004,53,Washington,"1,510,201 ","1,304,894 ",2815095,-0.072930754,0.072930754,0,12,Economy
2004,54,West Virginia,"326,541 ","423,550 ",750091,0.129329641,0.129329641,1,5,Economy
2004,55,Wisconsin,"1,489,504 ","1,478,120 ",2967624,-0.003836065,0.003836065,0,10,Economy
2004,56,Wyoming,"70,776 ","167,629 ",238405,0.406254063,0.406254063,1,3,Economy
2008,1,Alabama,"813,479 ","1,266,546 ",2080025,0.217818055,0.217818055,1,9,Economy
2008,2,Alaska,"131,468 ","212,548 ",344016,0.235686712,0.235686712,1,3,Economy
2008,4,Arizona,"1,034,707 ","1,230,111 ",2264818,0.086278014,0.086278014,1,11,Economy
2008,5,Arkansas,"422,310 ","638,017 ",1060327,0.203434412,0.203434412,1,6,Economy
2008,6,California,"8,274,473 ","5,011,781 ",13286254,-0.245568992,0.245568992,0,55,Economy
2008,8,Colorado,"1,290,408 ","1,072,832 ",2363240,-0.092066824,0.092066824,0,9,Economy
2008,9,Connecticut,"1,000,291 ","628,041 ",1628332,-0.228608171,0.228608171,0,7,Economy
2008,10,Delaware,"255,459 ","152,374 ",407833,-0.252762773,0.252762773,0,3,Economy
2008,11,District of Columbia,"245,800 ","17,367 ",263167,-0.868015367,0.868015367,0,3,Economy
2008,12,Florida,"4,282,366 ","4,046,212 ",8328578,-0.02835466,0.02835466,0,29,Economy
2008,13,Georgia,"1,844,137 ","2,048,744 ",3892881,0.052559274,0.052559274,1,16,Economy
2008,15,Hawaii,"325,261 ","120,469 ",445730,-0.459453032,0.459453032,0,4,Economy
2008,16,Idaho,"236,440 ","403,012 ",639452,0.260491796,0.260491796,1,4,Economy
2008,17,Illinois,"3,419,673 ","2,031,527 ",5451200,-0.254649618,0.254649618,0,20,Economy
2008,18,Indiana,"1,374,039 ","1,345,648 ",2719687,-0.010439069,0.010439069,0,11,Economy
2008,19,Iowa,"828,940 ","682,379 ",1511319,-0.096975556,0.096975556,0,6,Economy
2008,20,Kansas,"514,765 ","699,655 ",1214420,0.152245516,0.152245516,1,6,Economy
2008,21,Kentucky,"751,985 ","1,048,462 ",1800447,0.164668552,0.164668552,1,8,Economy
2008,22,Louisiana,"781,574 ","1,148,015 ",1929589,0.189906244,0.189906244,1,8,Economy
2008,23,Maine,"421,923 ","295,273 ",717196,-0.1765905,0.1765905,0,4,Economy
2008,24,Maryland,"1,629,467 ","959,862 ",2589329,-0.258601746,0.258601746,0,10,Economy
2008,25,Massachusetts,"1,904,103 ","1,108,885 ",3012988,-0.263930026,0.263930026,0,11,Economy
2008,26,Michigan,"2,872,579 ","2,048,639 ",4921218,-0.167426032,0.167426032,0,16,Economy
2008,27,Minnesota,"1,573,354 ","1,275,409 ",2848763,-0.1045875,0.1045875,0,10,Economy
2008,28,Mississippi,"554,662 ","724,497 ",1279159,0.132770828,0.132770828,1,6,Economy
2008,29,Missouri,"1,321,809 ","1,413,960 ",2735769,0.033683765,0.033683765,1,10,Economy
2008,30,Montana,"232,156 ","243,860 ",476016,0.024587409,0.024587409,1,3,Economy
2008,31,Nebraska,"333,319 ","452,979 ",786298,0.152181488,0.152181488,1,5,Economy
2008,32,Nevada,"533,736 ","412,827 ",946563,-0.127734763,0.127734763,0,6,Economy
2008,33,New Hampshire,"384,826 ","316,534 ",701360,-0.097370822,0.097370822,0,4,Economy
2008,34,New Jersey,"2,215,422 ","1,613,207 ",3828629,-0.157292597,0.157292597,0,14,Economy
2008,35,New Mexico,"472,422 ","346,832 ",819254,-0.153298,0.153298,0,5,Economy
2008,36,New York,"4,769,700 ","2,742,298 ",7511998,-0.269888517,0.269888517,0,29,Economy
2008,37,North Carolina,"2,142,651 ","2,128,474 ",4271125,-0.003319266,0.003319266,0,15,Economy
2008,38,North Dakota,"141,278 ","168,601 ",309879,0.088173126,0.088173126,1,3,Economy
2008,39,Ohio,"2,933,388 ","2,674,491 ",5607879,-0.046166652,0.046166652,0,18,Economy
2008,40,Oklahoma,"502,496 ","960,165 ",1462661,0.312901622,0.312901622,1,7,Economy
2008,41,Oregon,"1,037,291 ","738,475 ",1775766,-0.168274424,0.168274424,0,7,Economy
2008,42,Pennsylvania,"3,266,523 ","2,649,934 ",5916457,-0.104215918,0.104215918,0,20,Economy
2008,44,Rhode Island,"296,571 ","165,391 ",461962,-0.28396275,0.28396275,0,4,Economy
2008,45,South Carolina,"862,449 ","1,034,896 ",1897345,0.090888584,0.090888584,1,9,Economy
2008,46,South Dakota,"188,924 ","215,054 ",403978,0.06468174,0.06468174,1,3,Economy
2008,47,Tennessee,"1,087,437 ","1,479,178 ",2566615,0.152629436,0.152629436,1,11,Economy
2008,48,Texas,"3,528,633 ","4,479,328 ",8007961,0.118718735,0.118718735,1,38,Economy
2008,49,Utah,"327,670 ","596,030 ",923700,0.290527227,0.290527227,1,6,Economy
2008,50,Vermont,"219,262 ","98,974 ",318236,-0.377983635,0.377983635,0,3,Economy
2008,51,Virginia,"2,421,115 ","2,040,303 ",4461418,-0.085356718,0.085356718,0,13,Economy
2008,53,Washington,"1,750,848 ","1,229,216 ",2980064,-0.175040536,0.175040536,0,12,Economy
2008,54,West Virginia,"303,857 ","397,466 ",701323,0.133474875,0.133474875,1,5,Economy
2008,55,Wisconsin,"1,677,211 ","1,262,393 ",2939604,-0.141113565,0.141113565,0,10,Economy
2008,56,Wyoming,"82,868 ","164,958 ",247826,0.331240467,0.331240467,1,3,Economy
2012,1,Alabama,"795,696 ","1,255,925 ",2051621,0.224324571,0.224324571,1,9,Economy
2012,2,Alaska,"142,458 ","192,750 ",335208,0.150032219,0.150032219,1,3,Economy
2012,4,Arizona,"1,025,232 ","1,233,654 ",2258886,0.092267604,0.092267604,1,11,Economy
2012,5,Arkansas,"394,409 ","647,744 ",1042153,0.243088107,0.243088107,1,6,Economy
2012,6,California,"7,854,285 ","4,839,958 ",12694243,-0.237456223,0.237456223,0,55,Economy
2012,8,Colorado,"1,324,032 ","1,182,042 ",2506074,-0.056658343,0.056658343,0,9,Economy
2012,9,Connecticut,"891,674 ","624,210 ",1515884,-0.176440941,0.176440941,0,7,Economy
2012,10,Delaware,"242,584 ","165,484 ",408068,-0.188939098,0.188939098,0,3,Economy
2012,11,District of Columbia,"267,070 ","21,381 ",288451,-0.851752984,0.851752984,0,3,Economy
2012,12,Florida,"4,237,756 ","4,163,447 ",8401203,-0.008845043,0.008845043,0,29,Economy
2012,13,Georgia,"1,773,827 ","2,078,688 ",3852515,0.079132982,0.079132982,1,16,Economy
2012,15,Hawaii,"306,326 ","120,977 ",427303,-0.433764799,0.433764799,0,4,Economy
2012,16,Idaho,"212,787 ","420,911 ",633698,0.328427737,0.328427737,1,4,Economy
2012,17,Illinois,"3,019,512 ","2,135,102 ",5154614,-0.171576378,0.171576378,0,20,Economy
2012,18,Indiana,"1,152,887 ","1,420,543 ",2573430,0.104007492,0.104007492,1,11,Economy
2012,19,Iowa,"822,544 ","730,617 ",1553161,-0.059187039,0.059187039,0,6,Economy
2012,20,Kansas,"439,908 ","689,809 ",1129717,0.221206727,0.221206727,1,6,Economy
2012,21,Kentucky,"679,370 ","1,087,190 ",1766560,0.230855448,0.230855448,1,8,Economy
2012,22,Louisiana,"809,141 ","1,152,262 ",1961403,0.174936512,0.174936512,1,8,Economy
2012,23,Maine,"399,235 ","291,418 ",690653,-0.156108784,0.156108784,0,4,Economy
2012,24,Maryland,"1,677,844 ","971,869 ",2649713,-0.266434516,0.266434516,0,10,Economy
2012,25,Massachusetts,"1,921,290 ","1,188,314 ",3109604,-0.235713615,0.235713615,0,11,Economy
2012,26,Michigan,"2,564,569 ","2,115,256 ",4679825,-0.096010641,0.096010641,0,16,Economy
2012,27,Minnesota,"1,546,167 ","1,320,225 ",2866392,-0.078824529,0.078824529,0,10,Economy
2012,28,Mississippi,"562,949 ","710,746 ",1273695,0.116037984,0.116037984,1,6,Economy
2012,29,Missouri,"1,118,126 ","1,452,931 ",2571057,0.130220761,0.130220761,1,10,Economy
2012,30,Montana,"201,839 ","267,928 ",469767,0.140684637,0.140684637,1,3,Economy
2012,31,Nebraska,"302,081 ","475,064 ",777145,0.222587805,0.222587805,1,5,Economy
2012,32,Nevada,"531,373 ","463,567 ",994940,-0.068150843,0.068150843,0,6,Economy
2012,33,New Hampshire,"369,561 ","329,918 ",699479,-0.05667504,0.05667504,0,4,Economy
2012,34,New Jersey,"2,125,101 ","1,477,568 ",3602669,-0.179737023,0.179737023,0,14,Economy
2012,35,New Mexico,"415,335 ","335,788 ",751123,-0.105904093,0.105904093,0,5,Economy
2012,36,New York,"4,324,228 ","2,223,397 ",6547625,-0.320853897,0.320853897,0,29,Economy
2012,37,North Carolina,"2,178,391 ","2,270,395 ",4448786,0.020680698,0.020680698,1,15,Economy
2012,38,North Dakota,"124,966 ","188,320 ",313286,0.202224166,0.202224166,1,3,Economy
2012,39,Ohio,"2,827,621 ","2,661,407 ",5489028,-0.030281135,0.030281135,0,18,Economy
2012,40,Oklahoma,"443,547 ","891,325 ",1334872,0.335446395,0.335446395,1,7,Economy
2012,41,Oregon,"970,488 ","754,175 ",1724663,-0.125423344,0.125423344,0,7,Economy
2012,42,Pennsylvania,"2,990,274 ","2,680,434 ",5670708,-0.05463868,0.05463868,0,20,Economy
2012,44,Rhode Island,"279,409 ","157,151 ",436560,-0.280048561,0.280048561,0,4,Economy
2012,45,South Carolina,"865,941 ","1,071,645 ",1937586,0.106165094,0.106165094,1,9,Economy
2012,46,South Dakota,"163,039 ","222,610 ",385649,0.154469479,0.154469479,1,3,Economy
2012,47,Tennessee,"960,709 ","1,462,330 ",2423039,0.207021431,0.207021431,1,11,Economy
2012,48,Texas,"3,308,124 ","4,569,843 ",7877967,0.160157944,0.160157944,1,38,Economy
2012,49,Utah,"251,813 ","740,600 ",992413,0.492523778,0.492523778,1,6,Economy
2012,50,Vermont,"199,239 ","92,698 ",291937,-0.364945177,0.364945177,0,3,Economy
2012,51,Virginia,"2,426,007 ","2,121,109 ",4547116,-0.067053051,0.067053051,0,13,Immigration
2012,53,Washington,"1,755,396 ","1,290,670 ",3046066,-0.152565965,0.152565965,0,12,Economy
2012,54,West Virginia,"238,269 ","417,655 ",655924,0.273485953,0.273485953,1,5,Economy
2012,55,Wisconsin,"1,620,985 ","1,410,966 ",3031951,-0.0692686,0.0692686,0,10,Healthcare
2012,56,Wyoming,"69,286 ","170,962 ",240248,0.42321268,0.42321268,1,3,Economy
2016,1,Alabama,"729,547 ","1,318,250 ",2047797,0.287481132,0.287481132,1,9,Economy
2016,2,Alaska,"137,003 ","191,684 ",328687,0.166361919,0.166361919,1,3,Economy
2016,4,Arizona,"1,161,167 ","1,252,401 ",2413568,0.037800468,0.037800468,1,11,Economy
2016,5,Arkansas,"380,494 ","684,872 ",1065366,0.285702754,0.285702754,1,6,Economy
2016,6,California,"8,753,788 ","4,483,810 ",13237598,-0.322564411,0.322564411,0,55,Economy
2016,8,Colorado,"1,337,139 ","1,200,117 ",2537256,-0.054004011,0.054004011,0,9,Immigration
2016,9,Connecticut,"897,572 ","673,215 ",1570787,-0.14283095,0.14283095,0,7,Economy
2016,10,Delaware,"235,603 ","185,127 ",420730,-0.119972429,0.119972429,0,3,Economy
2016,11,District of Columbia,"282,830 ","12,723 ",295553,-0.913903767,0.913903767,0,3,Economy
2016,12,Florida,"4,504,975 ","4,617,886 ",9122861,0.012376709,0.012376709,1,29,Immigration
2016,13,Georgia,"1,877,963 ","2,089,104 ",3967067,0.053223452,0.053223452,1,16,Economy
2016,15,Hawaii,"266,951 ","128,887 ",395838,-0.348789151,0.348789151,0,4,Economy
2016,16,Idaho,"189,765 ","409,055 ",598820,0.366203534,0.366203534,1,4,Economy
2016,17,Illinois,"3,090,729 ","2,146,015 ",5236744,-0.180401028,0.180401028,0,20,Economy
2016,18,Indiana,"1,033,126 ","1,557,286 ",2590412,0.20234619,0.20234619,1,11,Economy
2016,19,Iowa,"653,669 ","800,983 ",1454652,0.101270957,0.101270957,1,6,Healthcaer
2016,20,Kansas,"427,005 ","671,018 ",1098023,0.222229407,0.222229407,1,6,Economy
2016,21,Kentucky,"628,854 ","1,202,971 ",1831825,0.31341258,0.31341258,1,8,Economy
2016,22,Louisiana,"780,154 ","1,178,638 ",1958792,0.203433545,0.203433545,1,8,Economy
2016,23,Maine,"354,718 ","334,945 ",689663,-0.028670525,0.028670525,0,4,Economy
2016,24,Maryland,"1,677,928 ","943,169 ",2621097,-0.280324994,0.280324994,0,10,Economy
2016,25,Massachusetts,"1,995,196 ","1,090,893 ",3086089,-0.293025574,0.293025574,0,11,Economy
2016,26,Michigan,"2,268,839 ","2,279,543 ",4548382,0.002353364,0.002353364,1,16,Immigration
2016,27,Minnesota,"1,367,716 ","1,322,951 ",2690667,-0.016637139,0.016637139,0,10,Immigration
2016,28,Mississippi,"485,131 ","700,714 ",1185845,0.181796946,0.181796946,1,6,Economy
2016,29,Missouri,"973,333 ","1,569,857 ",2543190,0.234557387,0.234557387,1,10,Economy
2016,30,Montana,"177,709 ","279,240 ",456949,0.222193286,0.222193286,1,3,Economy
2016,31,Nebraska,"284,494 ","495,961 ",780455,0.270953482,0.270953482,1,5,Economy
2016,32,Nevada,"539,260 ","512,058 ",1051318,-0.025874188,0.025874188,0,6,Immigration
2016,33,New Hampshire,"348,526 ","345,790 ",694316,-0.003940569,0.003940569,0,4,Immigration
2016,34,New Jersey,"2,148,278 ","1,601,933 ",3750211,-0.145683803,0.145683803,0,14,Economy
2016,35,New Mexico,"385,234 ","319,667 ",704901,-0.093015899,0.093015899,0,5,Economy
2016,36,New York,"4,547,562 ","2,814,589 ",7362151,-0.235389494,0.235389494,0,29,Economy
2016,37,North Carolina,"2,189,316 ","2,362,631 ",4551947,0.038074916,0.038074916,1,15,Immigration
2016,38,North Dakota,"93,758 ","216,794 ",310552,0.396184858,0.396184858,1,3,Economy
2016,39,Ohio,"2,394,164 ","2,841,005 ",5235169,0.085353692,0.085353692,1,18,Economy
2016,40,Oklahoma,"420,375 ","949,136 ",1369511,0.386094745,0.386094745,1,7,Economy
2016,41,Oregon,"1,002,106 ","782,403 ",1784509,-0.123116779,0.123116779,0,7,Economy
2016,42,Pennsylvania,"2,926,441 ","2,970,733 ",5897174,0.007510716,0.007510716,1,20,Immigration
2016,44,Rhode Island,"251,888 ","180,490 ",432378,-0.165128661,0.165128661,0,4,Economy
2016,45,South Carolina,"855,373 ","1,155,389 ",2010762,0.149205127,0.149205127,1,9,Economy
2016,46,South Dakota,"129,458 ","245,721 ",375179,0.309886747,0.309886747,1,3,Economy
2016,47,Tennessee,"870,695 ","1,522,925 ",2393620,0.272486861,0.272486861,1,11,Economy
2016,48,Texas,"3,877,868 ","4,685,047 ",8562915,0.094264512,0.094264512,1,38,Economy
2016,49,Utah,"310,676 ","515,231 ",825907,0.247673164,0.247673164,1,6,Economy
2016,50,Vermont,"178,573 ","95,369 ",273942,-0.303728526,0.303728526,0,3,Economy
2016,51,Virginia,"2,475,841 ","2,014,836 ",4490677,-0.102658241,0.102658241,0,13,Immigration
2016,53,Washington,"1,742,718 ","1,221,747 ",2964465,-0.175738624,0.175738624,0,12,Economy
2016,54,West Virginia,"188,794 ","489,371 ",678165,0.443221045,0.443221045,1,5,Economy
2016,55,Wisconsin,"1,381,823 ","1,404,440 ",2786263,0.008117324,0.008117324,1,10,Economy
2016,56,Wyoming,"55,973 ","174,419 ",230392,0.514106393,0.514106393,1,3,Economy
2020,1,Alabama,"1,061,738 ","1,066,258 ",2127996,0.002124252,0.002124252,1,9,Economy
2020,2,Alaska,"282,754 ","229,580 ",512334,-0.103786592,0.103786592,0,3,Economy
2020,4,Arizona,"1,963,133 ","668,484 ",2631617,-0.491959392,0.491959392,0,11,Economy
2020,5,Arkansas,"583,544 ","646,952 ",1230496,0.051530765,0.051530765,1,6,Economy
2020,6,California,"11,209,831 ","3,046,075 ",14255906,-0.572657858,0.572657858,0,55,Economy
2020,8,Colorado,"1,531,713 ","986,619 ",2518332,-0.216450095,0.216450095,0,9,Climate Change
2020,9,Connecticut,"1,080,269 ","555,782 ",1636051,-0.320580532,0.320580532,0,7,Economy
2020,10,Delaware,"255,541 ","188,628 ",444169,-0.15064964,0.15064964,0,3,Economy
2020,11,District of Columbia,"186,863 ","84,178 ",271041,-0.378854491,0.378854491,0,3,Economy
2020,12,Florida,"5,313,097 ","3,637,268 ",8950365,-0.187235884,0.187235884,0,29,Economy
2020,13,Georgia,"2,455,621 ","2,143,121 ",4598742,-0.06795341,0.06795341,0,16,Economy
2020,15,Hawaii,"323,508 ","149,451 ",472959,-0.368016889,0.368016889,0,4,Economy
2020,16,Idaho,"353,134 ","460,752 ",813886,0.132226626,0.132226626,1,4,Economy
2020,17,Illinois,"3,665,150 ","1,703,148 ",5368298,-0.365479301,0.365479301,0,20,Economy
2020,18,Indiana,"1,421,859 ","1,489,777 ",2911636,0.023326542,0.023326542,1,11,Economy
2020,19,Iowa,"764,698 ","785,970 ",1550668,0.013717443,0.013717443,1,6,Healthcare
2020,20,Kansas,"746,033 ","685,649 ",1431682,-0.042177104,0.042177104,0,6,Economy
2020,21,Kentucky,"974,266 ","1,028,499 ",2002765,0.027078814,0.027078814,1,8,Economy
2020,22,Louisiana,"976,101 ","913,223 ",1889324,-0.033280898,0.033280898,0,8,Economy
2020,23,Maine,"343,339 ","335,950 ",679289,-0.010878875,0.010878875,0,4,Economy
2020,24,Maryland,"1,698,405 ","948,872 ",2647277,-0.283133461,0.283133461,0,10,Economy
2020,25,Massachusetts,"2,170,782 ","1,010,189 ",3180971,-0.364854662,0.364854662,0,11,Economy
2020,26,Michigan,"2,683,252 ","1,971,199 ",4654450,-0.152983274,0.152983274,0,16,Healthcare
